,,,,,,,,,,,
Estações,Bairros,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ipase,Praça Seca,-,-,  436 799, 1 593 837, 1 755 015, 1 368 174, 1 164 605, 1 054 381,  596 243,  367 228
Júlia Miguel,Paciência,-,   112,  69 175,  96 048,  69 222,  63 309,  10 738,-,   1,  6 487
Leila Diniz,Curicica,-,-,-,-,  121 957,  407 973,  457 147,  409 537,  179 223,  226 315
Lourenço Jorge,Barra da Tijuca,-,-,  523 503, 1 237 997, 1 176 792,  909 632,  788 668,  726 420,  402 923,  389 658
Madureira - Manacéia,Madureira,-,-, 1 066 860, 4 523 688, 4 181 987, 2 987 977, 3 045 788, 3 093 954, 1 450 933, 1 154 388
Madureira ( Terminal Paulo Da Portela ),Madureira,-,-, 2 961 147, 9 476 395, 9 401 511, 6 524 118, 6 361 585, 5 706 330, 3 486 460, 3 410 902
Magalhães Bastos,Magalhães Bastos,-,-,-,-,  349 246,  979 186, 1 075 230, 1 081 811,  681 621, 1 002 113
Magarça,Guaratiba, 1 126 260, 2 994 994, 3 114 136, 3 353 486, 3 308 336, 3 046 896, 2 581 699, 2 571 838, 1 396 644, 1 549 692
Marambaia,Irajá,-,-,  96 813,  451 687,  454 325,  319 038,  251 316,  222 398,  38 082,  2 748
Maré,Maré,-,-,  118 702,  635 123,  508 159,  377 405,  273 430,  227 205,  114 097,  88 564
Marechal Fontenelle,Vila Militar,-,-,-,-,  490 765, 1 397 537, 1 407 245, 1 361 571,  799 284,  885 982
Mato Alto,Guaratiba,  276 079, 3 543 005, 5 205 595, 6 094 523, 6 083 769, 5 353 780, 4 956 059, 4 632 219, 2 863 544, 3 096 671
Mercadão,Madureira,-,-,  623 529, 2 808 622, 3 008 153, 2 432 725, 2 308 997, 2 054 755, 1 124 242,  911 388
Merck,Taquara,-,-,  641 482,  957 125,  597 064,  478 695,  465 549,  451 512,  268 606,  150 585
Minha Praia,Barra da Tijuca,-,-,-,-,  63 431,  272 716,  237 183,  246 118,  49 237,  14 157
Notre Dame,Vargem Grande,  48 004,  102 312,  79 158,  94 305,  84 740,  198 049,  158 245,  182 527,  87 667,  86 192
Nova Barra,Recreio,  135 666,  419 002,  610 810,  867 383,  803 909,  818 036,  802 315,  810 189,  157 765,  5 793
Novo Leblon,Barra da Tijuca,  124 650,  445 715,  595 652,  904 298,  961 746,  883 891,  806 958,  779 396,  395 176,  320 791
Olaria ( Cacique De Ramos ),Olaria,-,-,  138 447,  912 012,  853 944,  417 374,  381 899,  389 497,  73 367,  67 931
Olof Palme,Recreio,-,-,-,-,  153 714,  106 334,  193 862,  226 243,  71 191,  16 372
Otaviano,Madureira,-,-,  105 810,  357 205,  640 050,  241 055,  80 797,-,  5 949,  36 115
Outeiro Santo,Jacarepaguá,-,-,-,-,  73 697,  221 072,  270 766,  221 457,  55 460,  93 913
Padre João Cribbin,Magalhães Bastos,-,-,-,-,  39 868,  131 011,  102 291,  82 855,  27 285,  40 683
Park Shopping,Campo Grande,-,-,-,   451,-,-,-,-,-,-
Parque Das Rosas,Barra da Tijuca,-,-,-,-,  433 049, 1 348 149, 1 442 628, 1 399 794,  476 258,  367 694
Parque Esperança,Campo Grande,-,-,  48 377,  68 754,  51 599,  143 349,  10 414,-,-,  3 157
Parque Olímpico ( Abelardo Bueno),Barra Da Tijuca,-,-,-,-,  101 445,  466 404,  579 648,  566 776,  284 111,  292 433
Parque São Paulo,Paciência,-,   901,  352 162,  588 871,  566 820,  513 408,  99 091,-,-,  61 979
Pastor José Santos,Penha,-,-,  113 107,  479 598,  405 015,  240 694,  189 595,  179 650,  106 474,  70 258
Paulo Malta Rezende,Barra da Tijuca,-,-,-,-,  207 950,  538 097,  423 943,  379 139,  154 602,  187 564
Pedra De Itaúna,Barra da Tijuca,  96 231,  270 305,  329 977,  478 564,  503 783,  447 314,  427 786,  423 183,  246 836,  226 535
Pedro Correia,Jacarepaguá,-,-,  312 377,  861 396,  815 263,  650 030,  608 137,  541 106,  266 459,  272 764
Pedro Taques,Penha Circular,-,-,  107 978,  558 955,  500 570,  342 016,  260 018,  225 629,  43 716,  27 224
Penha 1,Penha,-,-,  435 975, 2 087 992, 2 490 634, 2 026 120, 1 575 082, 1 499 298,  964 038,  842 574
Penha 2,Penha,-,-,  62 189,  23 571,-,-,-,-,-,-
Pina Rangel,Inhoaíba,-,-,  166 356,  206 133,  166 386,  141 213,  31 294,-,-,  16 410
Pingo Dágua,Guaratiba,  354 297, 1 518 170, 2 013 940, 2 413 069, 2 480 245, 2 112 050, 2 394 945, 2 575 967, 1 957 598, 2 257 384
Pinto Teles,Campinho,-,-,  228 722,  707 527,  738 702,  629 382,  557 631,  501 032,  86 962,  141 214
Pontal,Recreio,  137 953,  457 117,  531 084,  801 658,  682 713,  646 282,  454 293,  392 333,  252 324,  311 940
Pontões / Barra Sul,Barra da Tijuca,  112 950,  277 063,  362 924,  550 806,  644 422,  619 491,  573 461,  529 021,  207 843,  179 420
Praça Do Bandolim,Jacarepaguá,-,-,  385 369,  886 761,  778 802,  501 174,  331 440,  263 614,  46 063,  101 105
Praça Do Carmo,Penha Circular,-,-,  90 971,  473 925,  450 690,  328 120,  239 555,  217 915,  39 602,  28 077
Praça Seca,Praça Seca,-,-, 1 108 182, 3 605 443, 3 914 386, 2 910 691, 2 888 991, 2 627 587, 1 141 870,  841 285
Prefeito Alim Pedro,Campo Grande,-,-,  328 039,  404 897,  300 746,  512 388,  38 150,-,-,  29 129
Recanto Das Garças,Vargem Grande,-,  44 083,  74 652,  114 422,  113 207,  120 701,  56 780,  62 220,  10 432,  2 861
Recanto Das Palmeiras (Jardim São Luiz),Cidade de Deus,-,-,  446 768,  984 716,  916 209,  671 482,  463 414,  373 705,  70 228,  126 365
Recreio Shopping,Recreio,  370 622, 1 258 251, 1 890 744, 2 444 103, 2 590 014, 2 452 170, 2 403 493, 2 210 837, 1 409 491, 1 527 170
